,name,Title,comment,rating,ratin,,,,,,,,,,
541,yaswanth-2984320 May 2022,One of the greatest sequels but doesn't top part one,The authenticity and styling are well maintained.,08-Oct,8,,,,,,,,,,
542,amarendrakc15 April 2022,"Just Lost its simplicity,..","As per sunjay Dutt personality, in the movie ... Act given to him, didn't justify him. He deserve much important and dengerous role in the movie... inshort ( Adheera ko dekh sabki fatni chaiya thee.)",02-Oct,2,,,,,,,,,,
543,papamaa-3956716 April 2022,"Yash Yash Yash, Dutt Dutt Dutt, Tondon, Tondon","God level acting by the Rocking star Yash, his class with mass.. expression dialogues delevery and vision or cinematography is just epic . And Dutt as Adheera, deadliest, ruthless and the ravishing Raveena with her attitude of dictator is bonus...what a movie 🍿🍿",10-Oct,10,,,,,,,,,,
544,rudratomer-3909324 April 2022,Monster,"Everybody a gangsta , till u see a monster.",10-Oct,10,,,,,,,,,,
545,karancoolfever25 April 2022,Fully action packed movie and full swag of Rocky Bhai.,Best movie of last 10 yrs . Excellent acting by all actors Yash and Sanju baba.,10-Oct,10,,,,,,,,,,
546,sbanik-9544119 April 2022,Above all🔥🔥🔥,"This movie has everything best action, best acting, best cinematography, best editing (fav), best dialogues, best costume.... words aren't enough to describe the feeling after watching kgf2 🔥🔥",10-Oct,10,,,,,,,,,,
547,masumshaitan16 April 2022,Nepotism dialogue won me over,"We witnessed three pan India blockbusters this month, RRR, the Kashmir files and now KGf it's clear that problem isn't in the audience it's in the bollywood, north indian audience thought that these Bollywood frauds manipulated south cinema and infiltrated there after criticising it's core audienc, but south cinema understands public emotions and respects it, taunted nepotism in the movie won north India over now our movies are pan indian movies produced in south the shift is well deserved and kgf delivered it 100% south cinema is our Hollywood, expand pan India 🇮🇳",10-Oct,10,,,,,,,,,,
548,surendrannaveen14 April 2022,Full of action,"Just go for it. It's a must watch film, it's a visual treat for the audience.",10-Oct,10,,,,,,,,,,
549,sujathakella14 April 2022,"KGF-1 is Time Bomb, But KGF-2 is Nuclear Bomb🔥","Just Seen Premier show of KGF-2 ,As a Telugu Fan of K. G. F I proudly Came back from Threater. We already know we saw kgf1 without any expectations but now for chapter2 the expectations are sky high, the movie begins with where it ended in this chapter2 Every scene every frame is mindblowing ,purest form of goosebumps is available here. Coming to performances Yash.... Now I came to know why u r Rock star in India, remaining cast well performed in their roles especially role of PM is fire. Last but not least Writer director Prasanth neel well crafted his movie, Eagerly waiting for ur next movie sir. At last Dont come out of thraters after movie ends their is a Surprise waiting for everyone.my rating 8.5⭐/10 4.5⭐/5.",09-Oct,9,,,,,,,,,,
550,mbilaln-2207815 April 2022,Outstanding theatre experience,"The best Indian movie i ever seen , an amazing script with superb direction ,'prashant neel' 🤝 .action sequences uff wow , everybody go and watch the movie or else you guys are missing an amazing theatre experience in your life , the last movie that gives movie 100% satisfaction was avengers endgame , now kgf too , thank you very much prashant neel ,",10-Oct,10,,,,,,,,,,
551,vibhus-1778019 April 2022,Great Sequel,"Worth the hype !!!.... KGF chapter 2 , mass action thriller was really a great sequel . It completely satisfies the hype created by Part 1 . It's completely a Rocky Bhai's show , his characterisation and mannerism was pure lit . Mass action sequence , dialogues and buildup were just awesome as part 1 . Yash as Rocky Bhai gave terrific performance . Sanjay Dutt as Adheera was stunning in look , but his characterisation was not that much impressive as I thought . Raveena Tandon done her job well . Prashanth Neel way of handling commercial cinema is quite unique . First half was well made , screenplay was engaging , especially interval block . Second half was also good , but lagged in few places . This time mother sentiment quite didn't worked . Technically movie was great comparing to it's previous part , especially music and cinematography was mind blowing . Overall a well made sequel , please don't miss it to watch it on big screen .",07-Oct,7,,,,,,,,,,
552,saurabhkurve3 May 2022,Good Direction and Perfect Performance,What a movie !,10-Oct,10,,,,,,,,,,
553,razoryt316 April 2022,"IMO, This Is Just The Best Indian Movie In a Really Long While For Me...","I've Seen KGF Chapter 1. And I Have To Say, KGF Chapter 1 Seems Like a Trailer & Chapter 2 Is The Movie. The Visuals, The Writing, The Music, The Characters, The Villains Were Fantastic! Gotta Say, Am Really Impressed With This Movie. ITS Definitely Worth It :)",09-Oct,9,,,,,,,,,,
554,adityakvideos19 April 2022,No words for this masterpiece,"Movie is beyond expectations movie is super duper lit. This will go down as the greatest Indian films ever, if you're getting a story like this then nothing comes close KGF 2 - surely A MASTERPIECE.",10-Oct,10,,,,,,,,,,
555,BTCIND2 May 2022,very fine film but 1 was better,"No doubt the film is a fine master piece on it's own but I liked KGF 1. The film had good additional character of Sanjay Dutt, Yash was as usual at his best. Of course you don't go to this film expecting too much logic but I believe some scenes were overstretched and over amplified.",08-Oct,8,,,,,,,,,,
556,bhavyakaushik-8743716 April 2022,Review,"The film is literally become love forever the action, the love story, each n every scene is done in very detailed by Yash and Sanjay sir, Srinidhi and Raveena mam film especially the best thing is the work on emotions. As I literally love action type of films this is my favourite and part 1 also. Songs of the film are so lovely you can feel the emotions and you even get goosebumps while watching from starting to end of the film. You can't even look down your eyes from the screen even for a second. Dialogues are really dangerous though. In the end words can't explain how much people love this film.",10-Oct,10,,,,,,,,,,
557,parthibanmech-562422 May 2022,Mass,100% fullfill my expectations. Each and every scenes makes me goosebumps.background music was excellent. Screenplay so good to watch.waiting for kgf chapter 3...,10-Oct,10,,,,,,,,,,
558,jaythakor-0703715 April 2022,What is Action What is Acting,Very nice movie KGF bang entry dangerous seen And Ek Dum Todu Fudu Action🔥 The role of the actress in the film is also very good.,09-Oct,9,,,,,,,,,,
559,MickelTK18 April 2022,Outstanding Movie,The KGF team delivered another masterpiece again. The second part of KGF is better than the first.,10-Oct,10,,,,,,,,,,
560,tejadhavala16 April 2022,No words can explain this film,"Story: Story continues from KGF chapter 1 right where it ended. The plot is very clean and perfectly executed. But, a small part is misconnecting chapter 1 and 2. (Not mentioned due to spoiler) Music: There is nothing new about the music. As usual, it is extraordinary. Best viewed in Dolby atmos.",10-Oct,10,,,,,,,,,,
561,srkmani18 May 2022,One time Watch,Had better expectations from the movie. The first part was awesome but this is not upto the level to 1st part. Visual are ok but story is not that good. All actors have played their role perfectly. So we can easily watch one time.,06-Oct,6,,,,,,,,,,
562,trackingvm18 June 2022,Worst Movie of the year 2022,"I watched KGF 1, 4 times on the big screen and countless on the small screen , Still watching today the 1st part is Fresh peace of entertainment , but this Chapter 2 is full of bull$hit , i may be harsh on the words but thats what i have to say after waiting for like eternity to watch it and got disappointed , the expectations were so damn high and this film dont even stand on a fraction level of it, Sunjay dutt character was totally out of point ,i suffered from a headache after watching the first half due to the sound , the songs weren't good,the editing was a fail , the dialogs were cringe , idk what happened to prashant neel but he should look after his craft , Im still a big fan of prashant neel and yash i hope they do better in their next feature , they should now shut the project of KGF , ch 3 is not needed.",01-Oct,1,,,,,,,,,,
563,prasannapattankar16 April 2022,One of the best movie of 2022,"One of the best movie ever and the concept continues the first part and story involves around the kgf mining and best movie of Kannada industry, in short role Raveena Tandon acting is superb and last line is one time watchable movie.",10-Oct,10,,,,,,,,,,
564,shuklacaterers15 April 2022,Hollywood here we come with our kind of cinema,"Whatever i write will be less still trying a few words, We waited nd waited for long and it was worth it. From beginning to the movie exudes raw style and machoism. Movie locales, grand sets and extraordinary photography is spectacular and kudos to prashanth neel for that.",09-Oct,9,,,,,,,,,,
565,arpit-mishra28 July 2022,Bad superhero movie,"Simply put, it is a torture. Zero logic and bad action. If you like meaningful cinema then please stay away from this. This movie should be considered as a bad superhero movie.",04-Oct,4,,,,,,,,,,
566,sagarchauhan-4795216 April 2022,Total masala movie,This is pure masala movie. Fully entertaining. Filled with excitement. Totally worth a watch. Both 1&2 are good . Waiting for the 3rd .,10-Oct,10,,,,,,,,,,
567,santoshvreddy20 April 2022,Perfect Mafia Kannada movie,Kannada movies after been underrated for year's has finally shown potential where the movie was watched purely for the picturization and not the super stars. Excellent movie must watch.,10-Oct,10,,,,,,,,,,
568,nrrahul46 May 2022,Don't expect another Indian movie in this level,It's a must watch film in Indian film history. The story of KGF2 is small but how it presented matters. It is very difficult to express in words. Theatre experience was awesome. It's a must watch movie (From theatre).,10-Oct,10,,,,,,,,,,
569,anirwankumar-1933918 May 2022,"Useless Movie, Completely baseless","I dont know how people like these movies, no meaning, no story, no base, Useless, hated it. Kaun pagal director aisa bakwas timepass banata hai.",01-Oct,1,,,,,,,,,,
570,alokomkar-gudikote29 April 2022,Theatrical experience must,"Sometimes when we watch a trailer, it gives us a choice of wheather to wait for it on OTT or experience it in theatre.",09-Oct,9,,,,,,,,,,
571,ratuldx-3443114 April 2022,Chapter 1 was far far far better,3 of the actions stunts was better. First half is slow as well as the second half. The film will go beyond because of its fan base. They will definitly love it but as an average audience will find it poorly written and poorly choreographed action scene. There should be more twist and turns but u will rarely find any twist and turns and lacks of story. Seems like they were trapped into a tilt storyline. Swag and heroism was top notch and bgm was superb. One time watchable movies and at any point it cant beat baahubali and rrr in ant way however mass audience will love it as yash made a big fan base.,10-Oct,10,,,,,,,,,,
572,DJ_Dhrub22 June 2022,Waste of Time at Best,"As someone said, ""Sorry to say haters, film will be blockbuster"", well I don't care if the film makes a lot of money or little. As an audience I don't judge films on how much of a success they get commercially, neither do I care about the commercial aspect of it.",02-Oct,2,,,,,,,,,,
573,theprabhakarsharma14 April 2022,Prashanth Neel couldn't handle the pressure of the hype,HIGHLY DISAPPOINTED. Rocket paced first half followed by a very predictable second half. Unnecessary fight sequences have just increased the run-time of the film. STRICTLY A ONE-TIME WATCH.,06-Oct,6,,,,,,,,,,
574,sachin-gite21 June 2022,Worst ever movie with no logical sense in it,Can't give less than one star. What is logic. Total nonsense. Loud music and no sense of editing. Kgf1 and kgf2 both are worst movies. What it's happening to the Indian cinema? And it's audience.,01-Oct,1,,,,,,,,,,
575,aakashshah-8127316 April 2022,Amazing!!!,What a masterpiece!!!!,10-Oct,10,,,,,,,,,,
576,amarji-8083014 April 2022,KGF Chapter 2 Blockboster in the Movie History,This film is a legendary with many reasons.,10-Oct,10,,,,,,,,,,
577,ravipsingh16 April 2022,Popcorn 🍿 flick,"Just watched #KGFChapter2 Just like chapter 1 it's hardcover action Masala movie. But more violent than part 1. Movie editing was not really good and sound design was really bad, it was like wearing Chinese headphone with full volume. In the last #SanjayDutt character got weak.",06-Oct,6,,,,,,,,,,
578,mohitgarg-0807816 April 2022,True pan Indian movie,This is one of the best or I say the best pan India movie in true sense. The universe which we seen is impeccable. Director Neel vision is extraordinary.,09-Oct,9,,,,,,,,,,
579,nayonmghs14 April 2022,An Icon flim for Indian flim industry. 🔥,"This movie Don't need Reviews. It's a perfect movie for make history.chapter 1 is a trailer for storyline. Action, background music and storyline is great.",09-Oct,9,,,,,,,,,,
580,smchief16 April 2022,Most awaited and yet disappointing.,The genre of K. G. F-2 should have been Fantasy. Pure Fantasy.,07-Oct,7,,,,,,,,,,
581,mohmansoor-092542 May 2022,Watched twice goosebumps always,No words every second goosebumps. Kannada version makes even more thrilling. Ravi Basrur bgm next level . Yash screenplay . Prashanth neel direction .,10-Oct,10,,,,,,,,,,
582,ranjanravi-175474 May 2022,Nice Movie,"Full entertainment , every scene is epic.not bored for even a moment. Need to release chapter 3 as soon as possible. Cant wait for that , Rocky is better than any other hero of present.",10-Oct,10,,,,,,,,,,
583,rohitambekar16 April 2022,Biggest Blockbuster of india,Larger than life portrayal......absolutely mesmerised by the experience. Twice entertaining than KGF chapter 1. Must watch movie. Please do watch in theater only to get the complete experience of movie.,10-Oct,10,,,,,,,,,,
584,nikhilnsai16 April 2022,KGF 2 . It's not a movie it's an emotion,"Must watch movie. Full of action, emotion . Full Paisa wasool watching Yash and Sanjay dutt on same screen.",09-Oct,9,,,,,,,,,,
585,aabhinashreddy15 April 2022,KGF2>>>>>>>RRR. Watch only in Theaters,Next level action packed movie which carries emotion till the end. Watch only in theaters to experience it. Yash's one man show totally nailed it till the end. KGF2 will be the best movie of the year 2022.,10-Oct,10,,,,,,,,,,
586,riyadinreallife17 June 2022,BAWAL HAAI EE MOVIE,"I think that is the great kannada film,prashant neel directing and film making is goodsome illogical think happend but i liked.every situation of this movie, overall its agood movie.",08-Oct,8,,,,,,,,,,
587,sandeep-434422 May 2022,The monster movie best movie,Watching third time brilliant experience goose bumps.beutiful story and screenplay music and bgm is amazing. Must watch every character given beautifully.,09-Oct,9,,,,,,,,,,
588,armanfj-8593527 June 2022,POWERFUL HIT,#KGFChapter2 This movie has a hype which i have never seen for any Indian Movie. Chapter 1 had set huge expectations & Chapter 2 exceeds all that Expectations. Yash has nailed it with his performance 👏🔥.,10-Oct,10,,,,,,,,,,
589,rbsofficial15 April 2022,Overhyped Script with illogical script.,Very true review that movie and nothing so great about it.,02-Oct,2,,,,,,,,,,
590,bs-5546514 April 2022,Failed to Impress,"Movie failed to meet my expectations, the first half was slow and second half of the movie was too fast, lot of events happened, sanjay dutt character, ""Adhera"" was wasted nothing excited happened, same with raveena tondon's character. This is just a normal masala film, with a good ending. One time watch for me.",05-Oct,5,,,,,,,,,,
591,nitishkumarmohanta15 May 2022,WoW! That was above than expectation for me..,"It's a little trivia about my life. After the end of 1st wave of Covid-19 theatres reopened and I went to Maharaja Multiplex, BBSR to watch it's 1st installment and the theatrical experience of the 1st part was just wow and I could easily rate that 8 out of 10 stars from my side. That was my last movie in theatre and after a year I went to theatre Cineplex, Keonjhar to watch it's 2nd installment. Ha ha so basically my last 2 movies in theatres are KGF 1 & 2 .",10-Oct,10,,,,,,,,,,
592,mishrapriyam-9207014 April 2022,Fantastic...,Osm rocky bhai.. You just nailed it.. Superb movie plot and story telling is just an osm level... Amazed to see such a great connection with moving.. Hats off to team kgf.,10-Oct,10,,,,,,,,,,
593,priyanshuchahar14 April 2022,🔥🔥The Monster Is Back...🔥🔥,🔥🔥The most epic movie ever.🔥🔥🔥🔥🔥🔥🔥🔥. Don't wait now and just buy the tickets and help it to break all the box office records.. And don't watch any spoiler or the pirated version. Boycott piracy. Salaam Rocky bhai.🔥🔥🔥,10-Oct,10,,,,,,,,,,
594,TheIndianNovelor24 June 2022,+ (8/10) Bada-Bada-BOOM!,"KGF 2 was indeed amazing. Visually stunning like the first part, packed with non-stop action, but felt like there was more action to convey than story to tell. Film is not perfect but pretty solid.",08-Oct,8,,,,,,,,,,
595,akhilsyngal22 August 2022,A lot hyped,This movie doesn't deserve so many ratings . I am not saying it's a bad film as it still manages to keep you glued .,07-Oct,7,,,,,,,,,,
596,chiragkhowal28 May 2022,The Power Of Cinema,A very great job has been done by the Director+Writer Prashanth Neel sir. How They are making the kannada industry more bigger than the bollywood and many other cinema.,10-Oct,10,,,,,,,,,,
597,ayaanbhojani21 May 2022,Commendable Action Scenes Powerful Acting&Swag Less Intriguing Storyline,"So gave a watch to the most hyped film ever, it was a good one time watch action thriller with very amazing action scenes and powerful acting but a bit not so exciting story that keeps you glued to the screens and make you wonder wt will happen next(Though the ending was commendable). Yash does a really good job with his swag and also carries action scenes amazingly well, Srinidhi shetty here gets a lengthier role compared to the 1st part and she also does well especially in the climax scene with her emotions, Raveena tandon also makes her presence felt and she as well does a good job with her expressions and bossy attitude, Sanjay dutt ws extra ordinary as the main antagonist adheera and he does a really commendable performance. The action of the film is vry well directed and structured, wat i didn't like was the story had no vry intriguing depth that can justify the film in overall. Nevertheless despite some flaws KGF 2 is a great one time watch action thriller film, I rate it 7/10 starz.",07-Oct,7,,,,,,,,,,
598,chiranthgowda-590343 May 2022,Super movie 👌,How did they made this masterpiece with 100 crores?,10-Oct,10,,,,,,,,,,
599,rvhydd16 April 2022,Over promises but delivers a tad bit less,The hype says it's the best movie of india.,06-Oct,6,,,,,,,,,,
600,preetijanwasia14 April 2022,Worth waiting!!,Now this is called a sequel ...it's awesome...a must watch movie!! If u love action movies it's a must go for u..everything just so perfectly put up!!,10-Oct,10,,,,,,,,,,
601,shubhamvirmalwar14 April 2022,History Create😎,Never ever have done this type of masterpiece.,10-Oct,10,,,,,,,,,,
602,ValleDk9 June 2022,Just wooowww!!,Just finished the Movie.,08-Oct,8,,,,,,,,,,
603,rucharruchar24 May 2022,ATTITUDE OF THE GANGSTER,Warning: Spoilers,09-Oct,9,,,,,,,,,,
604,monalinsharma14 April 2022,Mixer of many movies just ok.ok,You can see Mad Max 300 all black and dust! Not at all a impressive movie. Just extreme loud sounds. I don't understand the obsession with black color and dust. Not much impressive dialogs and quite predictable.,06-Oct,6,,,,,,,,,,
605,ajadmaddheshiya16 April 2022,KGF CHAPTER 2 MEANS TABAHI CHAPTER 2,"It is not a movie it is a emotion of every cinema lover. The action, cinematography, background music and emotion everything have in this movie.",10-Oct,10,,,,,,,,,,
606,deepur-0517625 April 2022,Unbeatable,No one can beat such a master piece every one must watch can't wait for OTT platform watch on theater total experience is different every one get goosebumps from there feet to head what a experience I never had a such experience even Hollywood can't make a such a film.,10-Oct,10,,,,,,,,,,
607,afridiiiiiiiiiiansari8 June 2022,KALASHNIKOV,This is the GREATEST ACTING OF ALL TIME This is the BIGGEST FILM OF ALL TIME He is the GREATEST ACTOR OF ALL TIME,10-Oct,10,,,,,,,,,,
608,sujiparathattil14 May 2022,The best indian film.....,Its an awesome film Must watch film Good story Good direction Good sound affects Good visual affects Good acting Nothing to say as negative Really a worthy film Till now i watched it two times Simply awsome awsome awsome.,10-Oct,10,,,,,,,,,,
609,vithus-4522518 April 2022,Water cannot create fire. Unless it's your mother's tear,"An egoistic hero, who wanted to give everything to his mother. Defending his region.",10-Oct,10,,,,,,,,,,
610,adityamindstein14 April 2022,John Wick just got bigger and Indianized,I loved John Wick specially because everyone in the world fear him like death. Put that fear and increase the rowdiness to ten folds and you have your Rocky Bhai. This movie will be one of my all time favorite movie because it has madness like Madmax and it has swag like John Wick and it has pace like Fast and furious. You don't get time to relax or breath as you will miss on some exhibition of this action packed joyride. What a class movie with hints of GOT and everything else we love in cinemas. One of the best Indian movie ever made in action genre. Full marks for action and direction.,10-Oct,10,,,,,,,,,,
611,jubssss11231 May 2022,Damn thats a killer movie,The first one felt like a trailer in front of the second one. Damn the performances by Yash and Sanjay Dutt were superb. The cinematography and the background score were like a Hollywood movie.,09-Oct,9,,,,,,,,,,
612,rashidsaifudheen15 May 2022,IDK how to explain,Theres no word invented to expalin about this film Much better vfx than RRR. I wasted my money on RRR that is main regret. U can experience all things in this film action romance sentimental side of mother Unlimited SWAG of Rocky.,10-Oct,10,,,,,,,,,,
613,viratp-0399215 April 2022,Amazing,Warning: Spoilers,10-Oct,10,,,,,,,,,,
614,soumiyog15 April 2022,If KGF -1 was fire 🔥 then KGF - 2 Is a whole dynamite!!,Hats off to the enthusiastic screenplay with high definition cinematography quality.,10-Oct,10,,,,,,,,,,
615,popalghatvishnu15 April 2022,Mind blowing paisa vasool,"The dialogue, the acting, the story all is fabulous and amazing never experienced movie like this before. Now I great fan of rocking star Yash after watching his work in both kgf movies.",10-Oct,10,,,,,,,,,,
616,swagatika-7751215 April 2022,I love this film,I love you guys.fjtjvjdjdjgjvujfjchfjcjdjhcjjfjcjfjfufjfjfjgjtjjfjjdjdudu jhant KR find CV ur ghr dheki na rh he ei je sh ka tu kya rh ja ei je rh he rh ja GB na FB nd FB nd FB.,10-Oct,10,,,,,,,,,,
617,dhrupkumarsinhaiiii15 April 2022,promise and love,"The more I say, the less it is for this film. In front of it, even Bahubali is tea less water. Every moment something new happens in the film, completely beyond comprehension. There is a unique form of promise and love in it.",10-Oct,10,,,,,,,,,,
618,patelvirat-4839315 April 2022,MASTERPIECE...BEST OF THE BEST,WATCHED EVERY TOP MOVIES BUT NEVER FEEL LIKE WHILE WATCHING THIS MASTERPIECE.,10-Oct,10,,,,,,,,,,
619,umardarazriaz31 May 2022,Mega blockbuster,KGF Chapter 2 One Word Mega blockbuster One Of My Favourite Cinema Of All Time,10-Oct,10,,,,,,,,,,
620,jhumaph15 April 2022,Kgf review,"I was a such a epic movie ever I have seen the stunts, action and especially dialogues are epic. No one can beat kgf 2 I was like a Hollywood movie I wish kgf3 will be superhit .",10-Oct,10,,,,,,,,,,
621,nehamurthy-4019215 April 2022,WHAT MASS BROOO,"Everything about the movie was soooo good. Like fr da. The cinematography, the sound effects and the direction was IMMACULATE. The plot was SO great, we were hooked from the first minute, there was a perfect amount of action, and the fighting scenes dont bore u like they usually do. The dialogues broooooo, crazyy they were (i can only speak for the kannada movie tho) and u wont really need any popcorn cause yash is a whole meal, not even kidding, what perfect costumes da. Listen, just go watch it already, u'll have a great cinematic experience.",10-Oct,10,,,,,,,,,,
622,seveningnill15 April 2022,Monster movie,Everything is just top notch. From starting to end goosebumps didn't stopped. From entry of Rocky Bhai to entry of adheera everything single scene contains high goosebump level. You can only injoy this in theatres. Music and dialogues are awesome hats off to all kgf team.,10-Oct,10,,,,,,,,,,
623,andreashoffwrites16 April 2022,Disappointed by the story but cinematography was great,"I was thinking that I would rate this movie 10/10 but after watching it, I was disappointed by the story. In my view, KGF Chapter 2 could not meet my expectations which was set high by KGF Chapter 1.",05-Oct,5,,,,,,,,,,
624,mahedirazz15 April 2022,The most satisfying movie I have ever seen in my life❤,I have been watching movie from my childhood. But this movie can break all the emotions all the records. Hope for the best wishes ❤ Somehow it has the best scenes like fighting action. Everything is just wow. I recommend it for the best movies forever in India.,10-Oct,10,,,,,,,,,,
625,thepoetrkumar18 May 2022,Movie doesn't deserve high rating.,Watching this movie will only waste your time. Nothing in this movie interesting. It is the movie Bollywood used to make 20 years ago.,05-Oct,5,,,,,,,,,,
626,shashucr15 April 2022,Insane movie with deep emotional touch,"The movie is just insaneee, the fight and actions are on next level.",10-Oct,10,,,,,,,,,,
627,djrulzbreaker15 April 2022,Worldwide one of the best action movie,"The Greatest Action Movie in Bollywood history. This will go down as the greatest Indian films ever, Full on entertainment. Great work by the whole team of KGF. This is the best action movie so far in Bollywood history.",10-Oct,10,,,,,,,,,,
628,mc-0666415 April 2022,Monster Rocky bhai,Very good movie every time Rocky bhai come on screen the reaction of audience in theatre is insane Also the background music of movie give goosebumps many times in movie.,10-Oct,10,,,,,,,,,,
629,tgowda-2556215 April 2022,Ultimate🔥🔥🔥🔥,"Epic..... 2 hr 30 min + goosebumps guaranteed. Rocky's swag, cg, screenplay, bgm are top notch. Elevations are on next level. Once a life time experience. Do experience in theaters..",10-Oct,10,,,,,,,,,,
630,souravkumar-596328 May 2022,horrible,"Watch it at your on risk no sense movie action they say but where is it i couldn't find it. Only it is from south people r going nuts about it. Director should stop making movies , need my money back.",03-Oct,3,,,,,,,,,,
631,princehossen-5768515 April 2022,Masterpiece,I was just amazed by the movie. It's a masterpiece. I got goosebumps on every mins. I Don't know when we will get movie like kgf again. The storyline is amazing.,10-Oct,10,,,,,,,,,,
632,shakuntalaadv-4662415 April 2022,Tremendous movie,I love this because I love my mom .,10-Oct,10,,,,,,,,,,
633,anandsagarsap15 April 2022,Monster entertainment from a Monster,"What a movie!! Feast to eyes! Bgm and cinematography was better than part 1. Movie was finished in 90 crores but RRR budget was 500 crore! I watched both movies, trust me movie setup is very grand and realistic in KGF 2. I don't blame RRR, their setup were great, but in budget Of 90cr this movie is a gem!",10-Oct,10,,,,,,,,,,
634,luckyasagar15 April 2022,ROCKY is the Real MONSTER of Indian BOX OFFICE... Acting ka BAAP,Mind Blowing Scenes.... Starting to End Goosebumps... No words to Express and Mark his word in Dictionary .... Awesome movie and never seen such a movie in life time.... My Hearty Congratulations to Entire KGF TEAM.,10-Oct,10,,,,,,,,,,
635,maila-8132618 April 2022,"Average at best, this film does the style way better than the substance","KGF Chapter II will remain one of the most technically sound films made in India. Be it the expansive set design or the brilliant camerawork or even those lavish suits that Rocky wears, or the makeup on Adheera, KGF's technical department deserves all praise for making a grand contribution to this magnum opus BUT it is the story and overdose of machismo that makes a dent in the experience and leaves an average aftertaste. It might have the so-called spices that makes up a summer blockbuster but the screenplay is quite immaterial, hardly written with thought and care, and even to a point predictable. And Raveena Tandon does the finest in the acting department while the others only scream and yell - if only that could be called acting?! Yash does fine in getting the commanding presence required of his messiah plus gangster plus monster image in Rocky but his style and panache does get in the way of actual emoting. Also dubbing in Hindi could have been better.",05-Oct,5,,,,,,,,,,
636,nsmbharath15 April 2022,Overhyped movie with bas direction,"Too much overhyped movie with so many scenes with hero elevations,bgm was too much.direction is poor.due to hype I went for movie on 2nd day and totally disappointed.atleast kgf has sentiment and story.but kgf 2 doesn't fit.",04-Oct,4,,,,,,,,,,
637,harisobha-307423 June 2022,✨,"I dont have any words to tell about this movie, words are not enough to describe the greatness of this movie. It is Never before and ever after Movie It is an Unbreakable and UnStoppable Movie.",10-Oct,10,,,,,,,,,,
638,zainzaman9423 May 2022,Priceless!,"Needless to say, there will be no competitor to KGF.",09-Oct,9,,,,,,,,,,
639,jasmeetmallhi27 April 2022,I can Die to watch this movie again,"This is one of the best movie I've ever seen. Best action, dialogues, editing, BGM, acting, performance etc etc...... I can't describe how good this movie is. I watched it today and I'm not able to get over it.... Every role was perfection. Yash was lit, and so does everybody else in the movie. Amazing.",10-Oct,10,,,,,,,,,,
640,badtripllama13 June 2022,The legend,"For all those bitching about this being over the top, well, it's clearly meant to be the Chuck Norris of India. The whole premise is that this is being told as a legend so the dramatisation is fully justified to add spice to the story.",09-Oct,9,,,,,,,,,,
641,rajivgandhisekar28 May 2022,Target Audience are 100% satisfied,"NO- logic, depth of story, connection with reality, risky stunts, high budget car chases BUT YOU CAN'T AVOID this film if you are an action loving Indian cine goer.",10-Oct,10,,,,,,,,,,
642,ahooda-8574310 July 2022,Absolute nonsense,It's disheartening to see what has happened to Indian cinema - it has turned absolutely disaster. This movie makes no sense at all. I haven't found a poorer plot than this movie. People are fighting like Vikings and all the action scenes aren't possible; it just cannot happen. The script is a horror and the acting performance is a sloppy work of art. Only saving grace is Sanjay Dutt.,01-Oct,1,,,,,,,,,,
643,chitraansh-6805816 May 2022,Yash is built different....,"KGF CHAPTER 2 this movie was awesome yash was electrifying like in the first part Sanjay dutt has done a phenomenal job in his character ""ADHEERA"". It was like Hollywood type film... Overall film is awesome...",08-Oct,8,,,,,,,,,,
644,kbjisin17 April 2022,Toofaan at the box office,"What a movie..This movie is a gem in indian cinemas...Awesome direction, cinematography, bgm, acting, etc etc.... YASH has nailed as ROCKY BHAAI...Sanju babaa was lit...Raveena was fantastic...tottally its a toofaan at indian box office.",10-Oct,10,,,,,,,,,,
645,debomitabasu11 August 2022,Worst sequel,Warning: Spoilers,01-Oct,1,,,,,,,,,,
646,viru_mo17 April 2022,Excessive slow motion scenes and typical hero centric south indian cinema,Warning: Spoilers,04-Oct,4,,,,,,,,,,
647,seansverma17 August 2022,World Class Indian Fare. One of the best motion pictures period!,"KGF 2 starts out with a lot of dark images but hand on to your hats. Everything about this motion picture is over the top. By the time it is done, it has blown your socks away!",10-Oct,10,,,,,,,,,,
648,noormpfire20 April 2022,Good but not the Best,"KGF 2 was a good movie but it was not worth the hype. The action sequences were marvelous but the story plot was very weak. More than half of the movie just focuses on the style of main hero. KGF 1 was far better in terms of story , emotions and plot twists. But still its a go for action lovers.",06-Oct,6,,,,,,,,,,
649,shuvo020119 May 2022,Overrated!! An honest review,"Personally, I don't feel like it matches the expectations of its previous installment. Waited for almost 4 years and now I'm disappointed to see this. The story line is compromised. So much aggression but little impact. Maybe a third installment will be coming. But I've already lost my interest in this. This is a hard 7 for this movie.",07-Oct,7,,,,,,,,,,
650,SuuKoii26 April 2022,A wasted sequel!,Warning: Spoilers,04-Oct,4,,,,,,,,,,
651,Vipin_Kumar_09117 April 2022,VIOLENCE VIOLENCE VIOLENCE 😊,"The movie is worth to watch, Chapter one was just the trailer, main picture is the Chalter 2, Rocky rocks and everyone shocks , I have never watched movie like this, it give goosebumps when i watched it in theatre, not a dingle moment when you feel bored, Full of energy and entertainment and VIOLENCE VIOLENCE VIOLENCE 😀 👍👍👍👍",10-Oct,10,,,,,,,,,,
